id,file_id,attribute_id,value,unit_id
684,93805,471,primos,
685,93805,472,"photo, 1 photo burst,3 second delay before next  picture",
686,93805,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
687,93805,269,"35.197505, -119.71552",
688,93805,325,"",
689,93806,466,150,
690,93806,271,2015-04-09/2015-04-09,
691,93806,467,4,
692,93806,468,shrub,
693,93806,469,facing north away from shrub,
694,93806,470,6,
695,93806,471,primos,
696,93806,472,"photo, 1 photo burst,3 second delay before next  picture",
697,93806,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
698,93806,269,"35.197505, -119.71552",
699,93806,325,"",
700,93807,466,168,
701,93807,271,2015-04-09/2015-04-09,
702,93807,467,5,
703,93807,468,shrub,
704,93807,469,facing north away from shrub,
705,93807,470,9,
706,93807,471,primos,
707,93807,472,"photo, 1 photo burst,3 second delay before next  picture",
708,93807,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
709,93807,269,"35.197505, -119.71552",
710,93807,325,"",
711,93808,466,8,
712,93808,271,2015-04-10/2015-04-13,
713,93808,467,2,
714,93808,468,shrub,
715,93808,469,facing north away from shrub,
716,93808,470,5,
717,93808,471,primos,
718,93808,472,"photo, 1 photo burst,3 second delay before next  picture",
719,93808,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
720,93808,269,"35.197505, -119.71552",
721,93808,325,"",
722,93809,466,78,
723,93809,271,2015-04-10/2015-04-13,
724,93809,467,3,
725,93809,468,shrub,
726,93809,469,facing north away from shrub,
727,93809,470,3,
728,93809,471,primos,
729,93809,472,"photo, 1 photo burst,3 second delay before next  picture",
730,93809,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
731,93809,269,"35.197505, -119.71552",
732,93809,325,"",
733,93810,466,3729,
734,93810,271,2015-04-11/2015-04-13,
735,93810,467,1,
736,93810,468,shrub,
737,93810,469,facing north away from shrub,
738,93810,470,10,
739,93810,471,primos,
740,93810,472,"photo, 1 photo burst,3 second delay before next  picture",
741,93810,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
742,93810,269,"35.197505, -119.71552",
743,93810,325,"",
744,93811,466,129,
745,93811,271,2015-04-11/2015-04-13,
746,93811,467,2,
747,93811,468,open,
748,93811,469,facing north away from shrub,
749,93811,470,4,
750,93811,471,primos,
751,93811,472,"photo, 1 photo burst,3 second delay before next  picture",
752,93811,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
753,93811,269,"35.197505, -119.71552",
754,93811,325,"",
755,93812,466,795,
756,93812,271,2015-04-13/2015-04-14,
757,93812,467,1,
758,93812,468,open,
759,93812,469,facing north away from shrub,
760,93812,470,4,
761,93812,471,primos,
762,93812,472,"photo, 1 photo burst,3 second delay before next  picture",
763,93812,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
764,93812,269,"35.197505, -119.71552",
765,93812,325,"",
766,93813,466,78,
767,93813,271,2015-04-13/2015-04-14,
768,93813,467,1,
769,93813,468,open,
770,93813,469,facing north away from shrub,
771,93813,470,6,
772,93813,471,primos,
773,93813,472,"photo, 1 photo burst,3 second delay before next  picture",
774,93813,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
775,93813,269,"35.197505, -119.71552",
776,93813,325,"",
777,93814,466,102,
778,93814,271,2015-04-13/2015-04-14,
779,93814,467,2,
780,93814,468,shrub,
781,93814,469,facing north away from shrub,
782,93814,470,10,
783,93814,471,primos,
784,93814,472,"photo, 1 photo burst,3 second delay before next  picture",
785,93814,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
786,93814,269,"35.197505, -119.71552",
787,93814,325,"",
788,93815,466,921,
789,93815,271,2015-04-13/2015-04-14,
790,93815,467,2,
791,93815,468,open,
792,93815,469,facing north away from shrub,
793,93815,470,8,
794,93815,471,primos,
795,93815,472,"photo, 1 photo burst,3 second delay before next  picture",
796,93815,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
797,93815,269,"35.197505, -119.71552",
798,93815,325,"",
799,93816,466,723,
800,93816,271,2015-04-13/2015-04-14,
801,93816,467,3,
802,93816,468,shrub,
803,93816,469,facing north away from shrub,
804,93816,470,2,
805,93816,471,primos,
806,93816,472,"photo, 1 photo burst,3 second delay before next  picture",
807,93816,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
808,93816,269,"35.197505, -119.71552",
809,93816,325,"",
810,93817,466,12,
811,93817,271,2015-04-13/2015-04-14,
812,93817,467,4,
813,93817,468,open,
814,93817,469,facing north away from shrub,
815,93817,470,1,
816,93817,471,primos,
817,93817,472,"photo, 1 photo burst,3 second delay before next  picture",
818,93817,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
819,93817,269,"35.197505, -119.71552",
820,93817,325,"",
821,93818,466,843,
822,93818,271,2015-04-14/2015-04-14,
823,93818,467,2,
824,93818,468,open,
825,93818,469,facing north away from shrub,
826,93818,470,6,
827,93818,471,primos,
828,93818,472,"photo, 1 photo burst,3 second delay before next  picture",
829,93818,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
830,93818,269,"35.197505, -119.71552",
831,93818,325,"",
832,93819,466,5,
833,93819,271,2015-04-15/2015-04-15,
834,93819,467,3,
835,93819,468,shrub,
836,93819,469,facing north away from shrub,
837,93819,470,1,
838,93819,471,primos,
839,93819,472,"photo, 1 photo burst,3 second delay before next  picture",
840,93819,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
841,93819,269,"35.197505, -119.71552",
842,93819,325,"",
843,93820,466,2877,
844,93820,271,2015-04-17/2015-04-17,
845,93820,467,1,
846,93820,468,open,
847,93820,469,facing north away from shrub,
848,93820,470,6,
849,93820,471,primos,
850,93820,472,"photo, 1 photo burst,3 second delay before next  picture",
851,93820,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
852,93820,269,"35.197505, -119.71552",
853,93820,325,"",
854,93821,466,1,
855,93821,271,2015-04-17/2015-04-17,
856,93821,467,1,
857,93821,468,shrub,
